title,genres,director,country,year
?,драматический фильм,".mw-parser-output .ts-Wikidata-redLink abackground:none;padding:0.mw-parser-output .ts-Wikidata-redLink a.mw-parser-output .ts-Wikidata-redLink a.external:visitedcolor:a55858;color:var(--color-link-red--visiteda55858), Ханун Брамантйо",Индонезия,Неизвестно
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,Неизвестно
42-я улица,"комедия, мюзикл, мелодрама","Ллойд Бэкон, Басби Беркли, (муз. номера)",США,Неизвестно
42 / Номер 42,"драма, спортивный фильм",Брайан Хелгеленд,США,Неизвестно
Авраам: Хранитель веры,драма,Джозеф Сарджент,"США, Италия, Великобритания",Неизвестно
Авиценна,"Биографический фильм, исторический фильм",Камиль Ярматов,СССР,Неизвестно
Алая буква,драма,Виктор Шёстрём,США,Неизвестно
Алая буква,драматический фильм,"Джозеф В. Смайли, Джордж Лоан Такер",США,Неизвестно
Американский пирог 2,Комедия,Джеймс Роджерс,США,Неизвестно
Американский пирог,комедия,Пол Вайц,США,Неизвестно
Аноним,фильм-биография,Роланд Эммерих,"Германия, Великобритания, США",Неизвестно
Анон,"антиутопический фильм, научно-фантастический фильм, кинофантастика, фильм-триллер, киберпанк",Эндрю Никкол,Великобритания,Неизвестно
"Асиф, Васиф, Агасиф",детский фильм,Расим Исмайлов,СССР,Неизвестно
Асако 1 и 2,"драматический фильм, романтический фильм",Рюсукэ Хамагути,"Япония, Франция",Неизвестно
Багратион,"историко, биографический фильм","Гиули Чохонелидзе, Караман Мгеладзе",СССР,Неизвестно
БАгИ,драма,Андрей Богатырёв,Россия,Неизвестно
Барышня и хулиган,драма,"Евгений Славинский, Владимир Маяковский",РСФСР,Неизвестно
Барышня и хулиган,Неизвестно,Неизвестно,Неизвестно,Неизвестно
Без тормозов,"комедия, экшен",Николя Бенаму,"Франция, Северная Македония",Неизвестно
Без тормозов,"криминал, драма",Сондра Локк,США,Неизвестно
Белоснежка,"фантастическая, драма",Пабло Бергер,"Испания, Франция",Неизвестно
Белоснежка,"фэнтези, драма, приключения",Кэролайн Томпсон,"Канада, Германия, США",Неизвестно
Беспечный ездок,роуд-муви,Деннис Хоппер,США,Неизвестно
Беспечные близнецы,комедия,".mw-parser-output .ts-Wikidata-redLink abackground:none;padding:0.mw-parser-output .ts-Wikidata-redLink a.mw-parser-output .ts-Wikidata-redLink a.external:visitedcolor:a55858;color:var(--color-link-red--visiteda55858), Давид Дхаван",Индия,Неизвестно
title,genres,director,country,year
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014
Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно
42-я улица,"комедия, мюзикл, мелодрама","Ллойд Бэкон, Басби Беркли, (муз. номера)",США,1933
Авраам: Хранитель веры,драма,Джозеф Сарджент,"США, Италия, Великобритания",1994
Авиценна,"Биографический фильм, исторический фильм",Камиль Ярматов,СССР,1956
Алая буква,драма,Виктор Шёстрём,США,1926
Алая буква,драматический фильм,"Джозеф В. Смайли, Джордж Лоан Такер",США,1911
Американский пирог 2,Комедия,Джеймс Роджерс,США,2001
